,y,a,b,c,h,yy,dy,B,night,hypo,dips,twos,tres,fp,tp,A,C
2022-02-01 04:13:13,6.05032,0.0,0.1246614285714285,0.0,,6.05032,0.0,0.14920176734060608,True,False,False,False,False,False,False,6.17362326593707e-10,0.0
2022-02-01 04:18:13,5.99481,0.0,0.1246614285714285,0.0,,5.99481,-0.05550999999999995,0.14830296637549437,True,False,False,False,False,False,False,3.086811632968534e-10,0.0
2022-02-01 04:23:13,5.88379,0.0,0.1246614285714285,0.0,,5.88379,-0.1110199999999999,0.14744409058699076,True,False,False,False,False,False,False,1.543405816484267e-10,0.0
2022-02-01 04:28:13,5.88379,0.0,0.1246614285714285,0.0,,5.88379,0.0,0.14662287261102036,True,False,False,False,False,False,False,7.717029082421334e-11,0.0
2022-02-01 04:33:13,5.88379,0.0,0.1246614285714285,0.0,,5.88379,0.0,0.14583720955338572,True,False,False,False,False,False,False,3.858514541210667e-11,0.0
2022-02-01 04:38:13,5.71727,0.0,0.1246614285714285,0.0,,5.71727,-0.16652000000000022,0.14508514832641908,True,False,False,False,False,False,False,1.9292572706053334e-11,0.0
2022-02-01 04:43:13,5.49524,0.0,0.1246614285714285,0.0,,5.49524,-0.22203000000000017,0.14436487252907976,True,False,False,False,False,False,False,9.646286353026667e-12,0.0
2022-02-01 04:48:13,5.55075,0.0,0.0498645714285714,0.0,,5.55075,0.05550999999999995,0.14105466989165483,True,False,False,False,False,False,False,4.8231431765133336e-12,0.0
2022-02-01 04:53:13,5.32872,0.0,0.0629425,0.0,,5.32872,-0.22203000000000017,0.1383363520381265,True,False,False,False,False,False,False,2.4115715882566668e-12,0.0
2022-02-01 04:58:13,5.1622,0.0,0.0629425,0.0,,5.1622,-0.16651999999999934,0.1357291413284502,True,False,False,False,False,False,False,1.2057857941283334e-12,0.0
2022-02-01 05:03:13,4.94017,0.0,0.0,0.0,,4.94017,-0.22203000000000017,0.13106398207428765,True,False,False,False,False,False,False,6.028928970641667e-13,0.0
2022-02-01 05:08:13,5.10669,0.0,0.0,0.0,,5.10669,0.16652000000000022,0.1265856054739379,True,False,False,False,False,False,False,3.0144644853208335e-13,0.0
2022-02-01 05:13:13,4.99567,0.0,0.068461909090909,0.0,,4.99567,-0.11102000000000078,0.12461081304879151,True,False,False,False,False,False,False,1.5072322426604167e-13,0.0
2022-02-01 05:18:13,4.94017,0.0,0.1141031818181818,0.0,,4.94017,-0.05549999999999944,0.12425576454989577,True,False,False,False,False,False,False,7.536161213302084e-14,0.0
2022-02-01 05:23:13,4.77364,0.0,0.068461909090909,0.0,,4.77364,-0.16652999999999984,0.12238049263548542,True,False,False,False,False,False,False,3.768080606651042e-14,0.0
2022-02-01 05:28:13,4.60712,0.0,0.0,0.0,,4.60712,-0.16652000000000022,0.11828824067619055,True,False,False,False,False,False,False,1.884040303325521e-14,0.0
2022-02-01 05:33:13,4.4406,0.0,0.0,0.0,,4.4406,-0.16652000000000022,0.11435239247566464,True,False,False,False,False,False,False,9.420201516627605e-15,0.0
2022-02-01 05:38:13,4.4406,0.0,0.0,0.0,,4.4406,0.0,0.11056569943395143,True,False,False,False,False,False,False,4.710100758313802e-15,0.0
2022-02-01 05:43:13,4.49611,0.0,0.0725834,0.0,,4.49611,0.05550999999999995,0.10931376103550332,True,False,False,False,False,False,False,2.355050379156901e-15,0.0
2022-02-01 05:48:13,4.77364,0.0,0.1209723333333333,0.0,,4.77364,0.2775300000000005,0.10969632155121192,True,False,False,False,False,False,False,1.1775251895784506e-15,0.0
2022-02-01 05:53:13,4.77364,0.0,0.1209723333333333,0.0,,4.77364,0.0,0.11006472790347528,True,False,False,False,False,False,False,5.887625947892253e-16,0.0
2022-02-01 05:58:13,4.82915,0.0,0.1271669978494623,0.0,,4.82915,0.05550999999999995,0.1106211489631659,True,False,False,False,False,False,False,2.9438129739461265e-16,0.0
2022-02-01 06:03:13,4.82915,0.0,0.0984725806451612,0.0,,4.82915,0.0,0.11022749714045771,False,False,False,False,False,False,False,1.4719064869730632e-16,0.0
2022-02-01 06:08:13,4.88466,0.0,0.0984725806451612,0.0,,4.88466,0.05550999999999995,0.1098480938595621,False,False,False,False,False,False,False,7.359532434865316e-17,0.0
2022-02-01 06:13:13,4.88466,0.0,0.0984725806451612,0.0,,4.88466,0.0,0.10948232911077971,False,False,False,False,False,False,False,3.679766217432658e-17,0.0
2022-02-01 06:18:13,4.88466,0.0,0.0984725806451612,0.0,,4.88466,0.0,0.1091296249871201,False,False,False,False,False,False,False,1.839883108716329e-17,0.0
2022-02-01 06:23:13,4.66263,0.0,0.0984725806451612,0.0,,4.66263,-0.22203000000000017,0.10878943361261831,False,False,False,False,False,False,False,9.199415543581645e-18,0.0
2022-02-01 06:28:13,4.55161,0.0,0.0393890322580645,0.0,,4.55161,-0.1110199999999999,0.10658167708406703,False,False,False,False,False,False,False,4.5997077717908226e-18,0.0
2022-02-01 06:33:13,4.49611,0.0,0.0,0.0,,4.49611,-0.05550000000000033,0.10320241427068076,False,False,False,False,False,False,False,2.2998538858954113e-18,0.0
2022-02-01 06:38:13,4.4406,0.0,0.0,0.0,,4.4406,-0.05550999999999995,0.09994085411693886,False,False,False,False,False,False,False,1.1499269429477056e-18,0.0
2022-02-01 06:43:13,4.38509,0.0,0.0,0.0,,4.38509,-0.05550999999999995,0.09679224312885236,False,False,False,False,False,False,False,5.749634714738528e-19,0.0
2022-02-01 06:48:13,4.38509,0.0,0.0,0.0,,4.38509,0.0,0.09375206039942996,False,False,False,False,False,False,False,2.874817357369264e-19,0.0
2022-02-01 06:53:13,4.38509,0.0,0.0572385714285714,0.0,,4.38509,0.0,0.09260855834654072,False,False,False,False,False,False,False,1.437408678684632e-19,0.0
2022-02-01 06:58:13,4.38509,0.0,0.095397619047619,0.0,,4.38509,0.0,0.09269565589949504,False,False,False,False,False,False,False,7.18704339342316e-20,0.0
2022-02-01 07:03:13,4.38509,0.0,0.095397619047619,0.0,,4.38509,0.0,0.09277980128675559,False,False,False,False,False,False,False,3.59352169671158e-20,0.0
2022-02-01 07:08:13,4.32958,0.0,0.095397619047619,0.0,,4.32958,-0.05550999999999995,0.09286110875487659,False,False,False,False,False,False,False,1.79676084835579e-20,0.0
